deu	yid
Afghanistan	אַפֿגהאַניסטאַן
Afrika	אַפֿריקע
ägyptisch	מיצריש
akkurat	גענוי
genau	גענוי
Akronym	ראשי תיבות
Akt	אַקט
Algerien	אַלזשיר
Demokratische Volksrepublik Algerien	אַלזשיר
allerhand	גענוג
ausreichend	גענוג
genügend	גענוג
als	פֿון
als	פֿאַר
als	ווי
Altruismus	אַלטרויִזם
Ameise	מוראַשקע
Amerika	אַמעריקע
amerikanisch	אַמעריקאַניש
Amputation	אַמפּוטירונג
Amsterdam	אמסטערדאם
Amt	אַמט
anfangen	באַגינען
beginnen	באַגינען
starten	באַגינען
angenehm	ליב
wohltuend	ליב
Angola	אַנגאָלאַ
annehmbar	גלײבלעך
annehmbar	גלױבלעך
annehmbar	גלײבװערדיק
glaubwürdig	גלײבלעך
glaubwürdig	גלױבלעך
glaubwürdig	גלײבװערדיק
wahrscheinlich	גלײבלעך
wahrscheinlich	גלױבלעך
wahrscheinlich	גלײבװערדיק
Antarktis	אַנטאַרקטיקע
Antikörper	אַנטיקערפּער
Antimon	אַנטימאָן
Antiquität	אַנטיק
Antwort	ענטפֿער
Anzahl	צאָל
Anzahl	נומער
Zahl	צאָל
Zahl	נומער
Äpfel	עפּל
Apfel -s	עפּל
April	אַפּריל
Arche Noah	נח’ס תיבה
Architektur	אַרכיטעקטור
Armee	מיליטער
Armee	חײל
Armee	אַרמײ
Heer	מיליטער
Heer	חײל
Heer	אַרמײ
Landstreitkraft	מיליטער
Landstreitkraft	חײל
Landstreitkraft	אַרמײ
Landstreitkräfte	מיליטער
Landstreitkräfte	חײל
Landstreitkräfte	אַרמײ
Militär	מיליטער
Militär	חײל
Militär	אַרמײ
stehendes Heer	מיליטער
stehendes Heer	חײל
stehendes Heer	אַרמײ
Heeresamt	מיליטער
Heeresamt	חײל
Heeresamt	אַרמײ
Bodentruppen	מיליטער
Bodentruppen	חײל
Bodentruppen	אַרמײ
aromatisch	אַראָמאַטיש
duftend	אַראָמאַטיש
würzig	אַראָמאַטיש
Arzt	דאָקטער
Ärztin	דאָקטער
Doktor	דאָקטער
Doktorin	דאָקטער
Mediziner	דאָקטער
Medizinerin	דאָקטער
astronomisch	אַסטראָנאָמיש
Atheismus	אַטעיִזם
Äthiopien	עטיאפּיע
auch	אויך
auflegen	דרוקן
veröffentlichen	דרוקן
Augenbraue	ברעמ
Augenbrauen	ברעמ
August	אויגוסט
aus	פֿון וועגן
von	פֿון וועגן
ausbrennen	דערברענען
zu Ende brennen	דערברענען
ausdrücken	איבערגעבן
Australien	אױסטראַליע
Australien	אויסטראַליע
Auswanderung	אימיגראציע
Autogramm	אַווטאָגראַף
Unterschrift	אַווטאָגראַף
Autograf	אַווטאָגראַף
Autograph	אַווטאָגראַף
Banane	באַנאַנע
Bank	באַנק
Barbados	באַרבאַדאס
Bart	באָרד
Baseball	בייסבאָל
Basketball	בעסקטבאל
Bauchspeicheldrüse	פאנקרעאס
Baum	בוים
Baum	בוים
Bazillus	באצילן
Belarus	בעלאָרוסיע
Belarus	ווײַסרוסלאַנד
Weißrussland	בעלאָרוסיע
Weißrussland	ווײַסרוסלאַנד
Beleidigung	באליידיגונג
Belize	בעליזע
benutzen	באניצן
gebrauchen	באניצן
verwenden	באניצן
Benutzer	באַניצער
Benutzer	באַניצער
Nutznießer	באַניצער
Nutzer	באַניצער
bepflastern	אױסברוקירן
bepflastern	פֿלאַסטערן
bepflastern	ברוקירן
pflastern	אױסברוקירן
pflastern	פֿלאַסטערן
pflastern	ברוקירן
bereit	באַגעריק
gutwillig	באַגעריק
bereits	שוין
schon	שוין
bereits	שוין
schon	שוין
Berlin	בערלין
beschissen	פֿאַרקאַקטע
widerlich	פֿאַרקאַקטע
hundeelend	פֿאַרקאַקטע
Besitzer	פֿאַרמאָגער
Besitzer	בעל־הבית
Besitzer	אײגנטימער
Eigentümer	פֿאַרמאָגער
Eigentümer	בעל־הבית
Eigentümer	אײגנטימער
Eigner	פֿאַרמאָגער
Eigner	בעל־הבית
Eigner	אײגנטימער
Bestätigung	קבלה
bestehen	זײַן
existieren	זײַן
Besuch	וויזיט
Bibel	בייבל
Biber	ביבער
Biene	בין
Bier	ביר
Bier	ביר
bitten	בעטן
bitten	בעטן
Blatt	בלאט
Blitz	בליץ
Blume	בלום
Blume	קװײט
Blume	בלימל
-n	בלום
-n	קװײט
-n	בלימל
Blüte	בלום
Blüte	קווייט
Blutkreislauf	בלוט צירקולאציע
Böhmen	בעהמען
Bosnien	באָסניע
Branche	בראַנזשע
Brände	שׂרפֿה
Brände	פייער
Feuer -s	שׂרפֿה
Feuer -s	פייער
Brand -s	שׂרפֿה
Brand -s	פייער
Brasilien	בראַזיליע
Brasilien	בראזיליע
brechen	צעברעכן
zerbrechen	צעברעכן
Brechreiz	ניט־גוטקייט
Briefwechsel	קאָרעספּאָנדענץ
Korrespondenz	קאָרעספּאָנדענץ
Schriftverkehr	קאָרעספּאָנדענץ
Brunnen	פֿאָנטאַן
Springbrunnen	פֿאָנטאַן
Brust	ברוסטקאַסטן
Brustkorb	ברוסטקאַסטן
Thorax	ברוסטקאַסטן
Brust	ברוסט
Brustkasten	ברוסט
Busen	ברוסט
Bub	מאַנצביל
Bub	מאַנספּאַרשױן
Bursche	מאַנצביל
Bursche	מאַנספּאַרשױן
Herr	מאַנצביל
Herr	מאַנספּאַרשױן
Junge	מאַנצביל
Junge	מאַנספּאַרשױן
Knabe	מאַנצביל
Knabe	מאַנספּאַרשױן
Mann	מאַנצביל
Mann	מאַנספּאַרשױן
Stallbursche	מאַנצביל
Stallbursche	מאַנספּאַרשױן
Type	מאַנצביל
Type	מאַנספּאַרשױן
Buch	ביכער
Buch	ספֿר
Buch	חיבור
Buch	בוך
Bucht	גאלף
Bühne	בינע
Brettl	בינע
Bulgarien	בולגאַריע
Büsche	קוסט
Sträucher	קוסט
Busch -s	קוסט
Strauch -s	קוסט
Butter	פּוטער
Cadmium	קאדמיום
Kadmium	קאדמיום
Champignons	שוועמל
christlich	קריסטלעך
Chrom	כראָם
Computer	קאָמפּיוטער
Rechner	קאָמפּיוטער
Courage	מוט
Mut	מוט
Tapferkeit	מוט
danke	אַ דאַנק
danke schön	אַ דאַנק
vielen Dank	אַ דאַנק
das	דאָס
es	דאָס
Daumen	גוי
Daumen	גראָבער פֿינגער
Decke	סופיט
Plafond	סופיט
Zimmerdecke	סופיט
Dekalog	די צען געבאָט
Dekalog	די עשׂרת־הדיברות
Delfin	דעלפין
Delphin	דעלפין
Tümmler	דעלפין
derselbe	זעלב
derselbe	זעלביק
selbe	זעלב
selbe	זעלביק
Deutschland	דייטשלאנד
Diabetes mellitus	דיעביטיס
Diamant	דימענט
Brillant	דימענט
Dieb	גזלן
Dieb	גנבֿ
Dienstag	דינסטיק
diese	די
Docht	קנויט
Dolmetscherin	איבערזעצערין
Übersetzerin	איבערזעצערין
Doppelpunkt	צווייפּינטל
Kolon	צווייפּינטל
Drehbank	טאָק
Dreieck	דרײַעק
durch	אַדורך
Ecuador	עקוואַדאר
egal	בילע
ehren	מכבד זײַן
Ehrenwort	װאָרט
Wort der Ehre	װאָרט
Ehrlichkeit	יושר
Ehrlichkeit	גערעכטיקייט
Ei	אײַ
Eichhorn	װעװערקע
Eichhörnchen	װעװערקע
Eidam	אײדעם
Schwiegersohn	אײדעם
Eidechse	יאַשטשערקע
Eifersucht	קינאה
Einfachheit	פּראָסטקײט
Einfachheit	פשוטקײט
Einfachheit	אײנפֿאַכקײט
einige	אַ פּאָר
wenige	אַ פּאָר
Einkommen	הכנסה
Einladung	אײַנלאַדונג
Einladung	פֿאַרבעטונג
Eisen	אײַזן
Engel	מלאך
Entfernungsmesser	װײַטמעסטער
Entfernungsmesser	װײַטקײט־מעסטער
E-Messer	װײַטמעסטער
E-Messer	װײַטקײט־מעסטער
entwaffnen	אַנטװאָפֿענען
entwaffnen	אָפּװאָפֿענען
entwehren	אַנטװאָפֿענען
entwehren	אָפּװאָפֿענען
Epoche	תקופֿה
Erbarmen	רחמנות
Erbarmen	דערבאַרעמען
Mitgefühl	רחמנות
Mitgefühl	דערבאַרעמען
Mitleid	רחמנות
Mitleid	דערבאַרעמען
Zuneigung	רחמנות
Zuneigung	דערבאַרעמען
Gleichgestimmtheit	רחמנות
Gleichgestimmtheit	דערבאַרעמען
Erdkunde	געאָגראַפֿיע
Geographie	געאָגראַפֿיע
Geografie	געאָגראַפֿיע
erfahren	קלאָר
ergötzen	לאָבן זיך
ergötzen	מחיה זײַן
genießen	לאָבן זיך
genießen	מחיה זײַן
erster	ערשט
erste	ערשט
Esel	אייזל
Essen	עסן
ethnisch	עטניש
Europa	אייראפּע
existieren	עקסיסטירן
Exorzismus	באַשווערונג
Exorzismus	השבעה
Teufelsbeschwörung	באַשווערונג
Teufelsbeschwörung	השבעה
Teufelaustreibung	באַשווערונג
Teufelaustreibung	השבעה
Fadenwürmer	רונדע ווערעם
Fahrenheit	פֿאַרענהײַט
Fahrrad	ביציקל
Fahrrad	ביציקלעט
Fahrrad	וועלאָסיפּעד
Fahrrad	ראָווער
Rad	ביציקל
Rad	ביציקלעט
Rad	וועלאָסיפּעד
Rad	ראָווער
falls	אויב
falls	אַז
falls	טאָמער
wenn	אויב
wenn	אַז
wenn	טאָמער
Familie	משפּחה
Familie	משפּחה
Haus	משפּחה
Haushalt	משפּחה
Hausstand	משפּחה
Haushalts…	משפּחה
Farbe	פֿאַרב
Farbstoff	פֿאַרב
Farn	פֿעדערגראָז
Faust	פֿויסט
Fennek	פֿענעק
Wüstenfuchs	פֿענעק
Fichte	טענענבוים
Fieber	היץ
Figur	פֿיגור
Schachfigur	פֿיגור
Film	פילם
Film	פילם
Kino	פילם
Finger	פֿינגער
Finnland	פינלאנד
Firma	פֿירמע
Gesellschaft	פֿירמע
Unternehmen	פֿירמע
Fischbrut	kind
Fischbrut	קינד
Jugendliche	kind
Jugendliche	קינד
Jugendlicher	kind
Jugendlicher	קינד
Jüngling	kind
Jüngling	קינד
Kind	kind
Kind	קינד
Youngster	kind
Youngster	קינד
Kid	kind
Kid	קינד
Flöte	פֿלייט
Flug	פֿלי
Französische Revolution	פראנצויזישע רעוואלוציע
Frau	froy
Freitag	פרײַטאָג
Freitag	פֿרײַטיק
Friseurgeschäft	שערערײַ
Friseursalon	שערערײַ
Frisiersalon	שערערײַ
Frisierstube	שערערײַ
Frösche	זשאַבע
Frosch -es	זשאַבע
früh	פֿריִיִק
Fuchs	פֿוקס
Funke	פֿונק
Fußball	פֿוסבאָל
Fußtritt	בריקע
Gage	פּיידע
Gas	גאַז
Gaststätte	רעסטאָראַן
Restaurant	רעסטאָראַן
Gaststätte	האטעל
Hotel	האטעל
gebildet	קולטורעל
gedenken	דערמאָנען זיך
erinnern sich	דערמאָנען זיך
Geflüster	שעפּטש
Flüstern	שעפּטש
Wispern	שעפּטש
Gelächter	געלעכטער
Lachen	געלעכטער
gelesen	לייענען
gelesen	לײענען
lauten	לייענען
lauten	לײענען
vorgelesen	לייענען
vorgelesen	לײענען
Gemach	צימער
Küche	צימער
Raum	צימער
Schlafgemach	צימער
Schlafraum	צימער
Schlafzimmer	צימער
Wohnzimmer	צימער
Zimmer	צימער
Schlafstube	צימער
Gemüse	גרינס
Genealogie	גזע
Genealogie	גענעאלאָגיע
Genre	זשאַנער
geographisch	געאָגראַפֿיש
geschehen	קומען
kommen	קומען
sich ereignen	קומען
gesetzlich	לֿעגאַל
legal	לֿעגאַל
Gesicht	פּנים
Geſicht	פּנים
gestern	נעכטן
Getreide	קערנער־תּבֿואה
Getreide	ברױט־געװיקסן
Gramineen	קערנער־תּבֿואה
Gramineen	ברױט־געװיקסן
Zerealie	קערנער־תּבֿואה
Zerealie	ברױט־געװיקסן
Gift	סם
Giftstoff	סם
Giraffe	זשיראף
Glas	גלעזל
Glied	אבֿר
Glied	פּעניס
Glied	מענלעכער אבֿר
Penis	אבֿר
Penis	פּעניס
Penis	מענלעכער אבֿר
Schwanz	אבֿר
Schwanz	פּעניס
Schwanz	מענלעכער אבֿר
glücklich	פֿריילעך
glücklich	גליקלעך
glücklich	באַגליקט
Glukose	גלוקאָזע
Traubenzucker	גלוקאָזע
Gramm	גראַם
Granatapfel	מילגרוים
groß	גרויס
groß	גרױס
Grotte	הייל
Höhle	הייל
Gruppe	גרופּע
Guatemala	גוואַטעמאַלע
Gummi	גומע
Hacke	מאָטיקע
Hacke	סאַפּע
halten	קלערן
halten	האַלטן
Hamburg	האמבורג
Hand	האנט
Pinsel	האנט
Handel	האַנדל
Kommerz	האַנדל
Harry Potter	הארי פאטער
Hase	האָז
Haus	הויז
Häuser	הויז
Haus	הױז
Wohnung	הױז
hebräisch	העברעיש
heilig	הייליק
heiraten	חתונה האָבן
Heizung	צענטראלע הייצונג
helfen	העלפֿן
Helium	העליום
herbstlich	האַרבסטיק
Herr	רב
herrschen	זײַן
Herz	האַרץ
Heuert	יולי
Juli	יולי
Heuler	הינטעלע
Hündchen	הינטעלע
Welpe	הינטעלע
hierher	אַהער
hierher	דאָ
hierhin	אַהער
hierhin	דאָ
Hochschule	אוניװערסיטעט
Universität	אוניװערסיטעט
Univerſität	אוניװערסיטעט
Hochſchule	אוניװערסיטעט
höflich	ליב
Holocaust	חורבן
Holocaust	חורבן אייראפע
Holocaust	האַלאָקאַוסט
Auschwitz	חורבן
Auschwitz	חורבן אייראפע
Auschwitz	האַלאָקאַוסט
Endlösung	חורבן
Endlösung	חורבן אייראפע
Endlösung	האַלאָקאַוסט
Schoah	חורבן
Schoah	חורבן אייראפע
Schoah	האַלאָקאַוסט
Judenvernichtung	חורבן
Judenvernichtung	חורבן אייראפע
Judenvernichtung	האַלאָקאַוסט
Judenmord	חורבן
Judenmord	חורבן אייראפע
Judenmord	האַלאָקאַוסט
Massenmord an den europäischen Juden	חורבן
Massenmord an den europäischen Juden	חורבן אייראפע
Massenmord an den europäischen Juden	האַלאָקאַוסט
hübsch	שיין
schön	שיין
Hufschmied	שמיד
Hufschmied	קאָװעל
Schmied	שמיד
Schmied	קאָװעל
Grobschmied	שמיד
Grobschmied	קאָװעל
hyperbolisch	כייפּערבאַליק
identisch	אידענטיש
in anderen Umständen	גרױס
schwanger	גרױס
trächtig	גרױס
Indien	אינדיע
Inflation	אינפלאציע
Inhalt	אינהאַלט
Inhaltsverzeichnis	אינהאַלט
Insekt	אינסעקט
Kerbtier	אינסעקט
Kerf	אינסעקט
Insulin	אינסולין
Irak	איראק
Island	איסלאַנד
ist	איז
Jagdhund	הונט
Jahreszeit	seson
Jalousie	זשאַלֿוזיע
-läden	זשאַלֿוזיע
Japan	יאפאן
Japan	יאפאן
Jemen	תימן
Jemen	תימן
Jerusalem	ירושלים
Joghurt	יאָגורט
Joghurt	יאגארט
Jogurt	יאגארט
Yoghurt	יאגארט
Yogurt	יאגארט
Judentum	יהדות
Judentum	ייִדישקייט
Judentum	ייִדישקײַט
Judentum	יודאַיִזם
Jungfrau	בתולה
Jungfrau	יונגפֿרוי
Jungfrau	בתולה עלייסבת
Maid	בתולה
Maid	יונגפֿרוי
Maid	בתולה עלייסבת
Kaffee	קאַווע
Kaffee	קאַװע
Kakerlak	טאַראַקאַן
Küchenschabe	טאַראַקאַן
Schabe	טאַראַקאַן
Karkelake	טאַראַקאַן
Kamerun	קאַמערון
Karl der Große	קארל דער גרויסער
Kern	תּוך
Kind	זון
Sohn	זון
Filius	זון
Kinn	גאָמבע
Klammer	האַלבע לבֿנות
kleiden	אָנטאָן
kleinstes gemeinsames Vielfaches	קלענסטע געמיינזאמע טאפלונג
Knopfloch	פּיטעלֿקע
Knopfloch	קנאָפּלאָך
Öse	פּיטעלֿקע
Öse	קנאָפּלאָך
Knoten	קנופּ
Kognak	קאָניאַק
kommen	קומען
nahen	קומען
Konfession	אמונה
Konfession	נאמנה דענאָמינאַציע
König	קיניג
können	זײַן ביכולת
können	זײַן אין שטאַנד
fähig sein ''zu etwas''	זײַן ביכולת
fähig sein ''zu etwas''	זײַן אין שטאַנד
Konstitution	גוף־געבוי
kopieren	נאָכפֿורעמען
nachahmen	נאָכפֿורעמען
Koran	קאראן
korrekt	אמת
koscher	כּשר
koscher machen	כשרן כשר מאכן
Kragen	קאָלנער
krank	קראַנק
krank	קרענקלעך
krank	געלעגן צו בעט
Krebs	ראַק
Kreuz	קרייַז
Kreuzung	קרייצוועג
Querstraße	קרייצוועג
Straßenkreuzung	קרייצוועג
Wegscheide	קרייצוועג
kriechen	קריכן
Krieg	מלחמה
Krieg	קריג
Kritik	קריטיק
Kritiker	קריטיקער
kritisieren	קריטיקירן
Kroatien	קראָאַטיע
Kronleuchter	טשאַנדעליער
Kuba	קיובא
Kunst	קונסט
Lastauto	אויטאָ
Laster	אויטאָ
Lastkraftwagen	אויטאָ
Lastwagen	אויטאָ
Lieferwagen	אויטאָ
LKW	אויטאָ
Lebensmittel	עסנוואַג
Nahrung	עסנוואַג
Nahrungsmittel	עסנוואַג
Leber	לעבער
leer	לײדיק
leer	בלױז
Lefze	ליפּ
Lippe	ליפּ
Lehrbuch	לערנבוך
Schulbuch	לערנבוך
Lehrbuch	לערנבוך
Schulbuch	לערנבוך
Lehrstunde	אויפֿגאַבע
Lehrstunde	לעקציע
Lektion	אויפֿגאַבע
Lektion	לעקציע
Stunde	אויפֿגאַבע
Stunde	לעקציע
Unterricht	אויפֿגאַבע
Unterricht	לעקציע
Leiche	מת
Leiche	ברמינן
Leiche	טויטער
Leichenschauhaus	מאָרג
Leichenhaus	מאָרג
Leidenschaft	לײַדנשאַפֿט
Passion	לײַדנשאַפֿט
leise	שטיל
still	שטיל
Lektion	אויפֿגאַבע
Lektion	לעקציע
Unterricht	אויפֿגאַבע
Unterricht	לעקציע
Unterrichtsstunde	אויפֿגאַבע
Unterrichtsstunde	לעקציע
Leopard	טיגער
Tiger	טיגער
Panther	טיגער
Lesezeichen	לייען־צייכן
Lettland	לעטלאנד
Linguist	לינגוויסט
Sprachwissenschaftler	לינגוויסט
Sprachwissenschafter	לינגוויסט
Linse	לינדז
Lippe	ליפּ
London	לאנדאן
London	לאנדאן
Löwe	לייב
Luft	לופֿט
Luxemburg	לוקסעמבורג
machen	טאָן
tun	טאָן
Mädchen	מויד
Mailand	מילאן
Maine	מעין
männlich	מענלעך
männlich	מאַסקולין
Marionette	מאַריאָנעט
Marmor	מאַרמער מאַרמל
Marokko	מאַראָקאָ
Marokko	מאַראָקאָ
Marokko	מאראקא
Marshallinseln	מאַרשאַל אינזלען
Maß	מאָס
Mast	סלופּ
Pfahl	סלופּ
Säule	סלופּ
Mayotte	מאַיאט
Mehl	מעל
Melasse	פּאַטיקע
Sirup	פּאַטיקע
meteorologisch	מעטעאָראָלאָגיש
Mexiko	מעקסיקע
Mexiko	מעקסיקע
Mexiko	מעקסיקע
militärisch	מיליטעריש
Milz	מילץ
Minsk	מינסק
Minute	מינוט
Minze	מינץ
mit	מיט
Mittelalter	מיטל אלטער
Mitternacht	האַלבע נאַכט
Mittwoch	מיטװאָך
Mittwoch	מיטוואך
Möhre	מער
Monat	כוידעש
Montag	מאָנטיק
Moor	בלאָטע
Moor	טװאַן
Moor	באַגנע
Moor	גרוזנע
Moor	זומפ
Sümpfe	בלאָטע
Sümpfe	טװאַן
Sümpfe	באַגנע
Sümpfe	גרוזנע
Sümpfe	זומפ
-e	בלאָטע
-e	טװאַן
-e	באַגנע
-e	גרוזנע
-e	זומפ
Sumpf - s	בלאָטע
Sumpf - s	טװאַן
Sumpf - s	באַגנע
Sumpf - s	גרוזנע
Sumpf - s	זומפ
- s	בלאָטע
- s	טװאַן
- s	באַגנע
- s	גרוזנע
- s	זומפ
Mull	מערלֿע
müssen	מוזן
nach	נאָך
Nachtigall	סאָלאָוויי
Nadir	נאַדיר
Nagel	נאגל
Nahbereich	געגנט
Umgebung	געגנט
Umkreis	געגנט
Name	נאָמען
Nationalsozialismus	נאציזם
Natrium	נאַטריום
Nepal	נעפאַל
Netzhaut	נעצהײַטל
Retina	נעצהײַטל
neu	נײַ
neugierig	טשיקאַווע
New York	ניו יארק
Nicaragua	ניקאַראַגוע
nicht	ניט
nicht	נישט
Nichte	פּלימעניצע
Nickel	ניקל
Nonne	מאָנאַשקע
Ordensschwester	מאָנאַשקע
Nordeuropa	צפֿון־אייראפּע
Nordkorea	נארט קארעא
Nordkorea	צפֿון־קאָרעע
North Dakota	נארט דעקאטע
Norwegen	נארוועגיע
Oberlippenbart	וואָנצעס
Schnurrbart	וואָנצעס
Orange	מאַראַנץ
Osmium	אָזמיום
Ost	מזרח
Osten	מזרח
Österreich	עסטרײַך
Republik Österreich	עסטרײַך
Austrien	עסטרײַך
Austrasien	עסטרײַך
Ozeanien	אקעאַניע
Pakistan	פאקיסטאן
Palast	פּאַלאַץ
Palast	דוואָרעץ
Palast	בורג
Palast	היכל
Schloss	פּאַלאַץ
Schloss	דוואָרעץ
Schloss	בורג
Schloss	היכל
Parasit	פּאַראַזיט
Schmarotzer	פּאַראַזיט
Partei	פּאַרטיי
Partikel	פּאַרטיקל
Persien	פּערסיע
Peru	פערו
Pistole	פּיסטויל
Pistole	ביקס
Pitcairninseln	פּיטקערן אינזלען
Pizza	פיצא
Pizzas	פיצא
Pizzen	פיצא
Pogrom	פּאָגראָם
Polen	פּױלן
Politiker	פּאָליטיקער
Politikerin	פּאָליטיקער
Polyglotte	שפּראַכן־קענער
Polynom	פֿילגליד
Polynom	פאָלינאָם
Popcorn	קאָקאָשעס
Postament	פּאָסטאַמענט
Sockel	פּאָסטאַמענט
prächtig	רײַך
prächtig	גרויסאַרטיק
Präfix	פרעפיקס
Vorsilbe	פרעפיקס
Vorspann	פרעפיקס
Projekt	פּראָיעקט
Prophet	נבֿיא
Prostituierte	פּראָסטיטוטקע
Psychologie	פּסיכאָלאָגיע
Puppe	ליאַלקע
Puppe	טאָק
Puppe	טעקל
Qualle	מעדוזע
Raum	שלאָפֿצימער
Schlafgelegenheit	שלאָפֿצימער
Schlafgemach	שלאָפֿצימער
Schlafraum	שלאָפֿצימער
Schlafzimmer	שלאָפֿצימער
Zimmer	שלאָפֿצימער
Schlafstube	שלאָפֿצימער
Rede	רעדע
rein	ריין
sauber	ריין
Reis	רײַז
Reisebüro	פֿאָר־אַגענטור
Reiseagentur	פֿאָר־אַגענטור
reißen	רײַסן
zerreißen	רײַסן
Rentier	רעניפֿער
Republik Litauen	רעפובליק פון ליטע
Republik Tadschikistan	טאדזשיקיסטאן
Tadschikistan	טאדזשיקיסטאן
Tadshikistan	טאדזשיקיסטאן
Reval	טאלין
Tallinn	טאלין
Rhinozeros	נאָזהאָרן
-hörner	נאָזהאָרן
Nashorn -s	נאָזהאָרן
Rio de Janeiro	ריאו די זשענעראו
Rose	רױז
Roſe	רױז
Rotes Meer	ים סוף
Ruanda	רוואַנדע
Rußland	רוסלאַנד
Russland	רוסלאַנד
Sabbat	שבת
Saison	סעזאָן
Sand	זאַמד
San Marino	סאַן מאַרינא
Sarg	ארון
Saturn	סאטורן
Sauce	סאָוּס
Sauce	אײַנברען
Soße	סאָוּס
Soße	אײַנברען
Sauce	סאָוס
Sauce	סאָס
Sauce	בראָטיויך
Soße	סאָוס
Soße	סאָס
Soße	בראָטיויך
Schätzung	שאַץ
schauen	קוקן
ansehen	קוקן
Schinken	שינקע
Schlange	שוואַנץ
Schlange	שלאַנג
Schwanz	שוואַנץ
Schwanz	שלאַנג
schlecht	שלעכט
schlimm	שלעכט
übel	שלעכט
Schnauze	פּיסק
Schnee	שניי
Schöpfer	בעשעפֿער
Schramme	שראַם
Schramme	ריץ
-n	שראַם
-n	ריץ
Schritt	קאַצנשפּרונג
Schuhmacher	שוסטער
Schuster	שוסטער
schuldig	שולדיק
schuld	שולדיק
Schwarzes Meer	שווארצער ים
schwer	שווער
schwer	האַרב
schwierig	שווער
schwierig	האַרב
Schwester	שװעסטער
Schweſter	שװעסטער
Schwester	שװעסטער
Schwindsucht	דער
Schwindsucht	סוכאָטע
Schwindsucht	טשעכאָטקע
Schwindsucht	שװינדזוך
See	אָזערע
Sehne	שפּאַנאָדער
Sehne	האָרפֿלאַקס
Sehne	פֿלעקס
Flechse	שפּאַנאָדער
Flechse	האָרפֿלאַקס
Flechse	פֿלעקס
Seife	זיִיף
Seil	שטריק
Strang	שטריק
Tau	שטריק
Trosse	שטריק
Reep	שטריק
sein	זײַן
Sekunde	סעקונדע
Selbstmord	זעלבסטמאָרד
Selbstmord	אַליינמאָרד
Suizid	זעלבסטמאָרד
Suizid	אַליינמאָרד
Selbsttötung	זעלבסטמאָרד
Selbsttötung	אַליינמאָרד
Sergeant	סערזשאַנט
sich zerstreuen	צעקריכן זיך
auseinanderlaufen	צעקריכן זיך
sieben	זיבן
Sieg	זיג
singen	זינגען
Slowakei	סלאוואַקיי
Slowenien	סלאוועניע
so	אַזוי
Söldner	שכיר חרב
Sommer	zumer
Sonnenblume	זונרויז
Spanien	שפּאַניע
Spargel	שפּאַרגל
Spargel	שפּאַרזשע
Spielzeug	צאַצקע
sprechen	רעדן
Sprichwort	שפּריכוואָרט
Staat	מדינה
Stachel	שטעכלקע
Stachel	שטאַכל
Startbahn	סטאַרטפּאַס
Landepiste	סטאַרטפּאַס
stattlich	מענלעך
stehen	שטיין
stehlen	גנבֿענען
stehlen	גנבֿען
Steigbügel	סטרעמען
Steigbügel	אױפֿזעצונג
Stein	שטיין
sternhell	אויסגעשטערנט
sternklar	אויסגעשטערנט
gestirnt	אויסגעשטערנט
ausgestirnt	אויסגעשטערנט
Stier	ביק
Stimme	שטים
Stock	דרוק
Strand	ברעג
Strand	פּלאַזשע
Struktur	סטרוקטור
Struktur	צונױפֿהעפֿט
Sturz	אַראָפּװאַרפֿן
